Algorithm,Our_pct,Paper_pct,Our_time,Paper_time,Delta_pp,Time_ratio
Simple,50.05153165300411,50.17,0.056108951568603516,3.0,-0.11846834699588982,0.018702983856201172
Greedy,68.07103742632438,69.25,37.53541970252991,49.0,-1.1789625736756193,0.7660289735210185
GreedyAbs,72.0398050167083,73.12,37.170284032821655,38.0,-1.0801949832917046,0.9781653692847804
Rocket (ours),82.91613324876269,80.05,79.23182916641235,4.2,2.8661332487626936,18.86472123009818
