iter,score,best_score,pct,best_pct,beta,elapsed,neg_loss,lr
0,21300048.0,21300048.0,50.8207557415872,50.8207557415872,1.05,0.022782087326049805,8710.6416015625,0.05
100,32552572.0,32552572.0,77.66866583457609,77.66866583457609,1.0438435559349108,0.38651299476623535,12794.572265625,0.05
200,33544420.0,33544420.0,80.03516120307394,80.03516120307394,1.0255258309537498,0.7499279975891113,13481.1875,0.05
300,33892392.0,33892392.0,80.86540346435484,80.86540346435484,0.9954979132535018,1.1173079013824463,13736.921875,0.05
400,34062460.0,34062460.0,81.27117646014621,81.27117646014621,0.9544992636170173,1.4871492385864258,13847.61328125,0.05
500,34180280.0,34180280.0,81.5522885703853,81.5522885703853,0.9035395056172213,1.8575730323791504,13911.77734375,0.05
600,34247536.0,34247536.0,81.71275772745744,81.71275772745744,0.8438735628528985,2.2323379516601562,13948.162109375,0.05
700,34270040.0,34270040.0,81.76645104717244,81.76645104717244,0.7769707554809265,2.5998570919036865,13960.517578125,0.05
800,34280760.0,34280760.0,81.79202838397232,81.79202838397232,0.7044786170668372,2.9666361808776855,13960.30078125,0.05
900,34276300.0,34280760.0,81.78138706660968,81.79202838397232,0.6281823227918506,3.333739995956421,13946.6689453125,0.05
1000,34256324.0,34280760.0,81.73372541736393,81.79202838397232,0.5499607281282769,3.70104718208313,13918.984375,0.05
1100,34218760.0,34280760.0,81.64409975695803,81.79202838397232,0.47174010056502963,4.076714038848877,13876.04296875,0.05
1200,34167120.0,34280760.0,81.52088952632872,81.79202838397232,0.39544668377542597,4.456492185592651,13815.359375,0.05
1300,34089512.0,34280760.0,81.33572106043638,81.79202838397232,0.32295926237146483,4.832710027694702,13729.712890625,0.05
1400,33984764.0,34280760.0,81.08579803104135,81.79202838397232,0.2560628953743302,5.209134101867676,13612.3388671875,0.05
1500,33835432.0,34280760.0,80.72950000314944,81.79202838397232,0.19640495775032424,5.579843044281006,13450.82421875,0.05
1600,33637428.0,34280760.0,80.25707323116015,81.79202838397232,0.1454545725235301,5.951969146728516,13231.580078125,0.05
1700,33388604.0,34280760.0,79.66339270393107,81.79202838397232,0.10446643248092169,6.32349705696106,12945.962890625,0.05
1800,33091164.0,34280760.0,78.95371704555801,81.79202838397232,0.07444990238851651,6.695119857788086,12615.91015625,0.05
1900,32779292.0,34280760.0,78.20960742032898,81.79202838397232,0.056144162600482383,7.0687501430511475,12338.0,0.05
2000,32559636.0,34280760.0,77.68552015427333,81.79202838397232,0.050000006169119704,7.439275026321411,12285.4619140625,0.05
2100,32546272.0,34280760.0,77.65363437731496,81.79202838397232,0.056168737716015826,7.8089759349823,12534.5546875,0.05
2200,32767948.0,34280760.0,78.18254125347656,81.79202838397232,0.07449844743828676,8.180229187011719,12932.0947265625,0.05
2300,33125144.0,34280760.0,79.03479147694422,81.79202838397232,0.1045377520053945,8.551758050918579,13300.7314453125,0.05
2400,33483764.0,34280760.0,79.89043928694203,81.79202838397232,0.14554691022405286,8.921931028366089,13584.259765625,0.05
2500,33795440.0,34280760.0,80.63408126683403,81.79202838397232,0.19651603973934345,9.29248595237732,13791.66796875,0.05
2600,34036928.0,34280760.0,81.2102584971635,81.79202838397232,0.2561899861716375,9.661520957946777,13941.955078125,0.05
2700,34194728.0,34280760.0,81.58676071237082,81.79202838397232,0.3230992322675212,10.030671119689941,14047.1396484375,0.05
2800,34298068.0,34298068.0,81.83332433036527,81.83332433036527,0.395596085902888,10.400292158126831,14120.52734375,0.05
2900,34365624.0,34365624.0,81.99450927111653,81.99450927111653,0.47189525578053354,10.769515991210938,14173.24609375,0.05
3000,34419012.0,34419012.0,82.1218901346494,82.1218901346494,0.5501178156142,11.13761591911316,14212.18359375,0.05
3100,34457976.0,34457976.0,82.2148561188911,82.2148561188911,0.6283374741469113,11.50628113746643,14241.623046875,0.05
3200,34488248.0,34488248.0,82.28708346400362,82.28708346400362,0.7046280115684793,11.874457120895386,14264.322265625,0.05
3300,34510388.0,34510388.0,82.3399082995213,82.3399082995213,0.777110714173578,12.244265079498291,14281.3154296875,0.05
3400,34526708.0,34526708.0,82.37884693166441,82.37884693166441,0.8440006391451086,12.613728046417236,14294.3154296875,0.05
3500,34541096.0,34541096.0,82.41317591691411,82.41317591691411,0.90365057015665,12.98239016532898,14305.00390625,0.05
3600,34551860.0,34551860.0,82.43885823532028,82.43885823532028,0.954591581353166,13.352360010147095,14313.0234375,0.05
3700,34560972.0,34560972.0,82.46059897160019,82.46059897160019,0.9955692107904554,13.722312927246094,14319.546875,0.05
3800,34567696.0,34567696.0,82.47664206979445,82.47664206979445,1.0255743525343153,14.091814994812012,14324.12109375,0.05
3900,34574232.0,34574232.0,82.49223661021647,82.49223661021647,1.0438681066775015,14.460819959640503,14328.0244140625,0.05
4000,34578212.0,34578212.0,82.50173267369254,82.50173267369254,1.0499999753235216,14.830479145050049,14330.2587890625,0.05
4100,34582040.0,34582040.0,82.51086607343788,82.51086607343788,1.043818956447041,15.199635028839111,14331.5244140625,0.05
4200,34582740.0,34582740.0,82.51253623535578,82.51253623535578,1.025477262435973,15.567300081253052,14330.95703125,0.05
4300,34582396.0,34582740.0,82.51171547007041,82.51253623535578,0.9954265717432697,15.936602115631104,14329.27734375,0.05
4400,34581700.0,34582740.0,82.5100548519349,82.51253623535578,0.9544069059543991,16.30725407600403,14326.673828125,0.05
4500,34580876.0,34582740.0,82.50808883276297,82.51253623535578,0.9034284061813527,16.676841020584106,14322.71484375,0.05
4600,34576656.0,34582740.0,82.4980201423436,82.51253623535578,0.8437464575536298,17.046671867370605,14316.4921875,0.05
4700,34570424.0,34582740.0,82.48315092938307,82.51253623535578,0.7768307743849189,17.415038108825684,14308.3642578125,0.05
4800,34562904.0,34582740.0,82.4652086184936,82.51253623535578,0.7043292073172417,17.783890962600708,14297.619140625,0.05
4900,34552544.0,34582740.0,82.44049022210864,82.51253623535578,0.6280271637197319,18.153584003448486,14283.501953125,0.05
5000,34538464.0,34582740.0,82.4068961081028,82.51253623535578,0.5498036406462299,18.52325987815857,14264.98828125,0.05
5100,34521128.0,34582740.0,82.36553335523314,82.51253623535578,0.47158495307424037,18.893433094024658,14240.43359375,0.05
5200,34495792.0,34582740.0,82.30508303758742,82.51253623535578,0.3952972969032904,19.263390064239502,14207.712890625,0.05
5300,34460720.0,34582740.0,82.22140315360927,82.51253623535578,0.3228193148856715,19.63321805000305,14163.24609375,0.05
5400,34410992.0,34582740.0,82.10275485096143,82.51253623535578,0.2559358335903533,20.002277851104736,14100.5224609375,0.05
5500,34336344.0,34582740.0,81.92464878403622,82.51253623535578,0.1962939106632266,20.371629238128662,14011.060546875,0.05
5600,34232732.0,34582740.0,81.6774361888394,82.51253623535578,0.14536227475403346,20.74044108390808,13880.6787109375,0.05
5700,34088976.0,34582740.0,81.33444219359639,82.51253623535578,0.10439515693324658,21.11025595664978,13693.6484375,0.05
5800,33909736.0,34582740.0,80.90678530478928,82.51253623535578,0.07440140427835318,21.479707956314087,13451.3974609375,0.05
5900,33724040.0,34582740.0,80.4637247512079,82.51253623535578,0.05611963623144045,21.849831104278564,13220.048828125,0.05
6000,33616008.0,34582740.0,80.20596627647231,82.51253623535578,0.050000055522075815,22.21942400932312,13154.169921875,0.05
6100,33653792.0,34582740.0,80.29611684490952,82.51253623535578,0.05619336157561522,22.58802890777588,13329.728515625,0.05
6200,33826572.0,34582740.0,80.70836052515999,82.51253623535578,0.074547039422872,22.95802903175354,13609.314453125,0.05
6300,34056516.0,34582740.0,81.25699439951762,82.51253623535578,0.10460911549962548,23.328563928604126,13851.287109375,0.05
6400,34252164.0,34582740.0,81.72379988368039,82.51253623535578,0.145639287846487,23.698568105697632,14024.6982421875,0.05
6500,34394352.0,34582740.0,82.06305271622728,82.51253623535578,0.19662715661931984,24.06852102279663,14142.26171875,0.05
6600,34494416.0,34582740.0,82.30179997644595,82.51253623535578,0.2563171059697306,24.441757917404175,14221.263671875,0.05
6700,34558048.0,34582740.0,82.45362246667455,82.51253623535578,0.3232392245600255,24.815001249313354,14275.326171875,0.05
6800,34602424.0,34602424.0,82.55950118848722,82.55950118848722,0.3957455032709293,25.188613176345825,14312.7119140625,0.05
6900,34633400.0,34633400.0,82.63340823930004,82.63340823930004,0.47205041870543796,25.57049822807312,14339.205078125,0.05
7000,34653972.0,34653972.0,82.68249191212162,82.68249191212162,0.550274903088494,25.95390486717224,14358.1162109375,0.05
7100,34669624.0,34669624.0,82.71983673260593,82.71983673260593,0.6284926177696004,26.338852167129517,14372.1533203125,0.05
7200,34679848.0,34679848.0,82.7442306403897,82.7442306403897,0.7047773908074222,26.722687005996704,14382.43359375,0.05
7300,34687932.0,34687932.0,82.76351862459589,82.76351862459589,0.7772506504490594,27.107255220413208,14390.1142578125,0.05
7400,34694196.0,34694196.0,82.77846418781553,82.77846418781553,0.844127686417717,27.48403000831604,14396.1669921875,0.05
7500,34698336.0,34698336.0,82.78834200258713,82.78834200258713,0.9037615997886761,27.868547201156616,14400.6953125,0.05
7600,34701976.0,34701976.0,82.79702684456024,82.79702684456024,0.954683859153733,28.252518892288208,14404.123046875,0.05
7700,34704108.0,34704108.0,82.80211368057304,82.80211368057304,0.9956404643470931,28.62822198867798,14406.5859375,0.05
7800,34705740.0,34705740.0,82.80600754378736,82.80600754378736,1.0256228271728798,29.010942935943604,14408.349609375,0.05
7900,34706856.0,34706856.0,82.80867025907361,82.80867025907361,1.0438926086723894,29.38430118560791,14409.48046875,0.05
8000,34707816.0,34707816.0,82.81096076684673,82.81096076684673,1.0499999012940888,29.756646871566772,14410.126953125,0.05
8100,34708384.0,34708384.0,82.81231598394582,82.81231598394582,1.04379430821632,30.12948727607727,14410.19921875,0.05
8200,34708448.0,34708448.0,82.81246868446404,82.81246868446404,1.025428646985778,30.50454616546631,14409.7294921875,0.05
8300,34708104.0,34708448.0,82.81164791917867,82.81246868446404,0.995355186266801,30.87621307373047,14408.6328125,0.05
