4.3572,4.2942,2.4670,0.8146,0.9008,0.5862,0.7535,0.6723,0.9950,2.1469
0.8502,2.2035,3.2891,3.7424,2.3048,1.1090,1.2531,0.3824,0.3691,0.4247
0.4964,0.8685,2.1867,2.6881,1.5889,1.5064,1.4559,0.4026,0.3058,0.3021
0.1642,0.3669,0.4868,1.4059,1.7815,1.6607,2.1620,0.3182,0.2307,0.1933
0.1559,0.2183,0.3059,0.3768,1.6266,2.0703,3.2157,0.5405,0.3422,0.2212
0.1091,0.1641,0.2675,0.5045,0.6057,1.7373,3.2532,0.6700,0.3416,0.2623
0.2320,0.2380,0.4053,0.4080,0.4497,0.5581,3.2995,2.9510,1.5246,0.7541
0.1705,0.1032,0.0873,0.0704,0.0936,0.0986,0.4308,2.7579,2.9481,0.6746
0.2528,0.1099,0.0657,0.0652,0.0959,0.1091,0.3077,0.5011,3.5207,2.0362
0.3051,0.0930,0.0481,0.0435,0.0555,0.0525,0.0997,0.0825,0.2508,2.1739
